"Dataset","GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display","Numeric","Low","High","Comments"
"CYCU","WHS7_108","PUBLISHED","2007","EUR","POL","747.1","747.11",,,
"CYCU","WHS7_104","PUBLISHED","1998","AMR","GTM","35.7","35.68",,,
"CYCU","WHS7_156","PUBLISHED","1997","SEAR","THA","100.2","100.16",,,
"CYCU","WHS7_108","PUBLISHED","1998","EUR","FRA","1837.3","1837.32",,,
"CYCU","WHS7_156","PUBLISHED","1998","EUR","GRC","1057.2","1057.18",,,
"CYCU","WHS7_105","PUBLISHED","2008","AFR","GAB","376.3","376.34",,,
"CYCU","WHS7_108","PUBLISHED","2007","AMR","VCT","340.7","340.7",,,
"CYCU","WHS7_156","PUBLISHED","2008","SEAR","MDV","475.5","475.45",,,
"CYCU","WHS7_104","PUBLISHED","2008","AMR","PER","158.8","158.77",,,
"CYCU","WHS7_104","PUBLISHED","2000","EUR","MLT","465.8","465.78",,,
"CYCU","WHS7_104","PUBLISHED","2004","EMR","LBN","174.7","174.72",,,
"CYCU","WHS7_156","PUBLISHED","2007","AFR","BEN","28.8","28.78",,,
"CYCU","WHS7_156","PUBLISHED","1996","AFR","COM","21.3","21.31",,,
"CYCU","WHS7_108","PUBLISHED","2006","AFR","RWA","46.2","46.19",,,
"CYCU","WHS7_108","PUBLISHED","1995","AFR","BDI","8.3","8.32",,,
"CYCU","WHS7_108","PUBLISHED","2011","AFR","GNQ","1088.2","1088.17",,,
"CYCU","WHS7_105","PUBLISHED","2010","EUR","LUX","6172.7","6172.7",,,
"CYCU","WHS7_105","PUBLISHED","2007","EUR","SMR","3072.1","3072.09",,,
"CYCU","WHS7_156","PUBLISHED","1995","AFR","LSO","36.6","36.56",,,
"CYCU","WHS7_104","PUBLISHED","2001","AFR","TGO","3.3","3.29",,,
"CYCU","WHS7_108","PUBLISHED","1999","AMR","ATG","462.5","462.52",,,
"CYCU","WHS7_105","PUBLISHED","2009","AMR","BOL","261.7","261.73",,,
"CYCU","WHS7_104","PUBLISHED","2004","AMR","CUB","185.8","185.83",,,
"CYCU","WHS7_156","PUBLISHED","2009","WPR","TUV","353.6","353.62",,,
"CYCU","WHS7_104","PUBLISHED","1997","WPR","NIU","407.3","407.3",,,
"CYCU","WHS7_156","PUBLISHED","1997","AMR","GUY","52.5","52.51",,,
"CYCU","WHS7_108","PUBLISHED","2008","AMR","HTI","15.4","15.41",,,
"CYCU","WHS7_156","PUBLISHED","2012","EUR","GBR","3647.5","3647.47",,,
"CYCU","WHS7_156","PUBLISHED","1999","EUR","TUR","179.2","179.21",,,
"CYCU","WHS7_104","PUBLISHED","2003","WPR","SLB","41.3","41.28",,,
"CYCU","WHS7_105","PUBLISHED","2009","AMR","PRY","391.0","390.96",,,
"CYCU","WHS7_104","PUBLISHED","1999","EUR","KAZ","26.4","26.39",,,
"CYCU","WHS7_156","PUBLISHED","1997","EUR","NOR","3395.6","3395.6",,,
"CYCU","WHS7_104","PUBLISHED","2001","EUR","POL","209.7","209.7",,,
"CYCU","WHS7_108","PUBLISHED","2006","EUR","SWE","2591.8","2591.83",,,
"CYCU","WHS7_104","PUBLISHED","2012","AFR","NER","10.1","10.12",,,
"CYCU","WHS7_156","PUBLISHED","2001","AMR","ATG","429.3","429.28",,,
"CYCU","WHS7_108","PUBLISHED","2006","WPR","BRN","989.0","988.99",,,
"CYCU","WHS7_104","PUBLISHED","2003","WPR","KHM","8.5","8.48",,,
"CYCU","WHS7_105","PUBLISHED","2009","WPR","COK","380.5","380.51",,,
"CYCU","WHS7_105","PUBLISHED","2006","WPR","SLB","149.0","149.02",,,
"CYCU","WHS7_105","PUBLISHED","2011","AMR","HND","334.7","334.7",,,
"CYCU","WHS7_105","PUBLISHED","1998","AMR","SUR","379.5","379.5",,,
"CYCU","WHS7_105","PUBLISHED","2002","AFR","MWI","27.1","27.11",,,
"CYCU","WHS7_105","PUBLISHED","2004","AMR","BHS","1742.9","1742.89",,,
"CYCU","WHS7_105","PUBLISHED","1998","AMR","BOL","154.1","154.14",,,
"CYCU","WHS7_156","PUBLISHED","2004","AMR","COL","147.9","147.86",,,
"CYCU","WHS7_108","PUBLISHED","2009","EMR","LBN","362.7","362.72",,,
"CYCU","WHS7_105","PUBLISHED","2006","WPR","CHN","213.0","212.95",,,
"CYCU","WHS7_156","PUBLISHED","1998","WPR","KOR","311.5","311.45",,,
"CYCU","WHS7_156","PUBLISHED","2003","AFR","TCD","17.0","16.99",,,
"CYCU","WHS7_156","PUBLISHED","2006","AFR","ERI","7.8","7.76",,,
"CYCU","WHS7_104","PUBLISHED","2001","AFR","RWA","4.1","4.09",,,
"CYCU","WHS7_105","PUBLISHED","2010","AFR","TZA","99.9","99.89",,,
"CYCU","WHS7_105","PUBLISHED","2003","AMR","JAM","304.0","304.02",,,
"CYCU","WHS7_108","PUBLISHED","2009","EUR","LUX","5515.1","5515.11",,,
"CYCU","WHS7_108","PUBLISHED","2005","WPR","FSM","345.4","345.38",,,
"CYCU","WHS7_156","PUBLISHED","2010","WPR","VNM","82.8","82.81",,,
"CYCU","WHS7_108","PUBLISHED","1999","EUR","AZE","19.2","19.2",,,
"CYCU","WHS7_104","PUBLISHED","2010","EUR","AZE","68.0","67.95",,,
"CYCU","WHS7_105","PUBLISHED","2012","AFR","GAB","558.2","558.24",,,
"CYCU","WHS7_104","PUBLISHED","2010","AFR","MOZ","12.7","12.74",,,
"CYCU","WHS7_105","PUBLISHED","2011","AFR","SLE","191.6","191.56",,,
